county,state,None,D0,D1,D2,D3,D4,blueVoter,redVoter,target
Blaine County,NE,86.8,13.2,2.4,0,0,0,29,268,1
Blaine County,OK,54.2,45.8,35.2,17,12.7,0.5,991,2824,1
Blair County,PA,93.2,6.8,0.8,0,0,0,15516,31500,1
Blanco County,TX,62.8,37.2,19.5,4.8,0.2,0,1220,3637,1
Bland County,VA,80.9,19.1,5.2,0,0,0,735,2144,1
Bleckley County,GA,45.6,54.4,26.3,6.6,4.2,0,1266,3586,1
Bledsoe County,TN,73.3,26.7,16.4,9,3.6,0.3,1267,3022,1
Blount County,AL,62.3,37.7,24.5,17.1,9.1,5.5,2961,20741,1
Blount County,TN,73.7,26.3,18.5,11.2,4.5,1.5,12925,35417,1
Blue Earth County,MN,99.8,0.2,0,0,0,0,18164,14916,0
Boise County,ID,63.8,36.2,4.9,0,0,0,953,2284,1
Bolivar County,MS,75.2,24.8,10.8,2,0.1,0,9772,4346,0
Bollinger County,MO,67.2,32.8,16.9,0,0,0,1213,4094,1
Bon Homme County,SD,82.1,17.9,7,0,0,0,1167,1830,1
Bond County,IL,82.5,17.5,6.4,0,0,0,3016,4091,1
Bonner County,ID,46,54,24.1,3,0,0,6500,11367,1
Bonneville County,ID,81.8,18.2,2.8,0,0,0,9929,32336,1
Boone County,AR,64.2,35.8,23.4,11.3,0,0,3762,11143,1
Boone County,IA,83.9,16.1,6.2,0,0,0,7457,6540,0
Boone County,IL,95.4,4.6,1,0,0,0,9868,11084,1
Boone County,IN,92,8,0.9,0,0,0,8326,18807,1
Boone County,KY,96.3,3.7,0.5,0,0,0,15628,35920,1
Boone County,MO,54.7,45.3,21.4,10.5,2.3,0.1,39782,37343,0
Boone County,NE,85.6,14.4,3,0,0,0,615,2136,1
Boone County,WV,95,5,0,0,0,0,2777,5414,1
Borden County,TX,65.2,34.8,25.2,21.3,2.7,0,32,324,1
Bosque County,TX,68.1,31.9,15.7,5,0.7,0,1366,5873,1
Bossier Parish,LA,54.5,45.5,31.8,13.3,2.3,0,12955,34986,1
Botetourt County,VA,72.4,27.6,2,0,0,0,5449,12471,1
Bottineau County,ND,31.7,68.3,44.2,10.2,0,0,1163,2246,1
Boulder County,CO,49.9,50.1,17.5,1.1,0,0,120485,48526,0
Boundary County,ID,45,55,29.2,7.1,0,0,1225,3138,1
Bourbon County,KS,66.1,33.9,11.1,0.4,0,0,1951,4022,1
Bourbon County,KY,92.4,7.6,5,3.2,0,0,3075,4692,1
Bowie County,TX,59.9,40.1,23.4,8.4,1.8,0,10184,24840,1
Bowman County,ND,39.6,60.4,32.7,14.5,5.6,0.1,412,1277,1
Box Butte County,NE,78.2,21.8,0.4,0,0,0,1634,2795,1
Box Elder County,UT,44.6,55.4,31.5,15.6,0.4,0,1830,15969,1
Boyd County,KY,91.2,8.8,1.8,0,0,0,7776,10883,1
Boyd County,NE,82.1,17.9,5,0,0,0,186,852,1
Boyle County,KY,90.6,9.4,5.1,3.2,0,0,4471,7703,1
Bracken County,KY,92.8,7.2,3.4,1.7,0,0,1147,2029,1
Bradford County,FL,80.6,19.4,6.2,0,0,0,3324,8216,1
Bradford County,PA,81.6,18.4,3.5,0,0,0,8291,13827,1
Bradley County,AR,68.8,31.2,16.8,3.8,0.7,0,1447,2118,1
Bradley County,TN,70.9,29.1,24.8,20.3,11.4,3.7,8035,27417,1
Branch County,MI,91.6,8.4,0,0,0,0,6526,9575,1
Brantley County,GA,57,43,21.2,8,1.6,0,939,4963,1
Braxton County,WV,97.4,2.6,0,0,0,0,1985,2692,1
Brazoria County,TX,76.5,23.5,3.1,0,0,0,34327,70684,1
Brazos County,TX,77.6,22.4,5.1,0.1,0,0,17440,37152,1
Breathitt County,KY,88.1,11.9,6.3,3.6,0.6,0,1562,3318,1
Breckinridge County,KY,91.9,8.1,4.6,2.4,0,0,2825,5025,1
Bremer County,IA,96.3,3.7,0,0,0,0,6710,6383,0
Brevard County,FL,57.2,42.8,18.4,4.9,0.9,0,122972,159270,1
Brewster County,TX,72.9,27.1,10,0.3,0,0,1765,1975,1
Briscoe County,TX,51.5,48.5,34,22.5,13.3,2.5,117,576,1
Bristol County,MA,67.2,32.8,20.7,6.9,1.9,0,142481,93448,0
Bristol County,RI,67.9,32.1,19.8,4.5,0,0,14943,9216,0
Broadwater County,MT,76.6,23.4,6.9,3.6,0.3,0,761,2150,1
Bronx County,NY,70.1,29.9,19.7,6.8,0,0,288378,26304,0
Brooke County,WV,97.4,2.6,0,0,0,0,3984,5014,1
Brookings County,SD,94.2,5.8,0.1,0,0,0,5826,6219,1
Brooks County,GA,56.5,43.5,26,7.2,1,0,3101,3522,1
Brooks County,TX,61.6,38.4,10.3,0.5,0,0,1886,507,0
Broome County,NY,80.7,19.3,6.1,0,0,0,38315,34878,0
Broomfield County,CO,34.2,65.8,27.1,2.5,0,0,16653,14765,0
Broward County,FL,69.6,30.4,10.3,1.9,0,0,507430,243732,0
Brown County,IL,61.6,38.4,4.2,0,0,0,787,1511,1
Brown County,IN,89.7,10.3,0.2,0,0,0,3056,4330,1
Brown County,KS,65.2,34.8,17.9,2.8,0.2,0,1039,2738,1
Brown County,MN,99.2,0.8,0,0,0,0,5630,7938,1
Brown County,NE,86.3,13.7,4,1,0,0,223,1298,1
Brown County,OH,94.6,5.4,1,0.1,0,0,6923,11671,1
Brown County,SD,43.6,56.4,27.4,4.7,0,0,7249,8320,1
Brown County,TX,64.7,35.3,18.5,6.5,0.6,0,1904,11894,1
Brown County,WI,93.8,6.2,0,0,0,0,62433,64738,1
Brule County,SD,71.9,28.1,11.2,6.9,1.2,0,824,1499,1
Brunswick County,NC,80.4,19.6,4.5,0,0,0,21932,34587,1
Brunswick County,VA,64.4,35.6,10.3,0,0,0,4993,2965,0
Bryan County,GA,55,45,20.3,3.9,0,0,3695,9537,1
Bryan County,OK,50.7,49.3,34.6,13.9,2.1,0,3533,9188,1
Buchanan County,IA,94.6,5.4,0.4,0,0,0,5903,4443,0
Buchanan County,MO,61.1,38.9,21.1,4.1,0.1,0,15594,18660,1
Buchanan County,VA,83.3,16.7,2.8,0.5,0,0,3094,6436,1
Buckingham County,VA,65.7,34.3,10.1,0,0,0,3747,3569,0
Bucks County,PA,74.7,25.3,13.8,4.3,0,0,159598,155876,0
Buena Vista County,IA,88,12,5.3,1.3,0,0,3683,4548,1
Buffalo County,NE,66.5,33.5,8.6,0,0,0,5266,13378,1
Buffalo County,SD,68.8,31.2,11.5,7.7,0.8,0,472,166,0
Buffalo County,WI,97.4,2.6,0,0,0,0,3569,3352,0
Bullitt County,KY,91.7,8.3,4.7,2.8,0,0,9971,21306,1
Bulloch County,GA,56.2,43.8,17,2,0,0,9572,14159,1
Bullock County,AL,56.4,43.6,27.4,9,4.1,0,4058,1250,0
Buncombe County,NC,76,24,18.9,12.2,2.1,0,70066,54429,0
Bureau County,IL,92.7,7.3,0,0,0,0,8118,8151,1
