county,state,None,D0,D1,D2,D3,D4,Overall D,blue_2012,red_2012,blue_2016,red_2016,target_2012,target_2016
Conejos County,CO,46.8,53.2,40.7,37.5,29.5,1.5,162.4,2180,1794,1753,1885,0,1
Contra Costa County,CA,58.5,41.5,15.1,11,4,0,71.6,230826,112547,286658,105819,0,0
Converse County,WY,81,19,0.3,0,0,0,19.3,1089,5043,668,5520,1,1
Conway County,AR,62.5,37.5,24.1,6.2,0.5,0,68.3,3003,4511,2655,4844,1,1
Cook County,GA,53.9,46.1,28.2,8.7,2,0,85,2042,3934,1752,4175,1,1
Cook County,IL,93.7,6.3,0,0,0,0,6.3,1439123,479204,1528582,440213,0,0
Cook County,MN,86.4,13.6,0,0,0,0,13.6,1993,1221,1912,1156,0,0
Cooke County,TX,65,35,17.1,6.5,0,0,58.6,2240,11901,2345,13174,1,1
Cooper County,MO,54.2,45.8,21.9,8.4,1.6,0.2,77.9,2474,4887,1932,5623,1,1
Coos County,NH,80.1,19.9,1.9,0,0,0,21.8,9091,6342,6558,7951,0,1
Coos County,OR,60.9,39.1,23.3,17,9.9,0,89.3,12628,14398,10355,17699,1,1
Coosa County,AL,59.6,40.4,18,9.3,6.5,4.5,78.7,2188,3028,1780,3376,1,1
Copiah County,MS,63.3,36.7,12.3,4.1,1.2,0,54.3,7201,5714,6203,5576,0,0
Corson County,SD,51.7,48.3,35.9,19.1,2.3,0,105.6,647,515,535,588,0,1
Cortland County,NY,80.8,19.2,9.3,1.8,0,0,30.3,9445,7886,7976,9207,0,1
Coryell County,TX,64.1,35.9,18.1,7.8,0.8,0,62.6,5141,11193,5057,12212,1,1
Coshocton County,OH,92.1,7.9,2.7,0,0,0,10.6,6841,8312,3908,10381,1,1
Costilla County,CO,44.2,55.8,43.8,38.2,30.1,6.2,174.1,1317,440,1109,581,0,0
Cottle County,TX,53.2,46.8,35.9,24.8,13,1.1,121.6,180,553,84,486,1,1
Cotton County,OK,65.8,34.2,18.4,9,0.8,0,62.4,657,1796,424,2054,1,1
Cottonwood County,MN,96.9,3.1,0,0,0,0,3.1,2433,3316,1678,3679,1,1
Covington County,AL,60.5,39.5,19.8,5.9,1,0,66.2,3155,12148,2379,13222,1,1
Covington County,MS,79.1,20.9,7.8,2.4,0.9,0,32,3800,5282,3267,5423,1,1
Coweta County,GA,70.6,29.4,18.8,13.3,6.5,0.8,68.8,15156,39633,16572,42513,1,1
Cowley County,KS,62.1,37.9,21.5,8.4,0,0,67.8,4219,7932,3436,8016,1,1
Cowlitz County,WA,51.2,48.8,27.5,7.8,0,0,84.1,20897,19107,17842,24066,0,1
Craig County,OK,55.5,44.5,17.5,5.4,0.8,0,68.2,1746,3552,1249,4279,1,1
Craig County,VA,81.2,18.8,0,0,0,0,18.8,830,1757,541,2139,1,1
Craighead County,AR,80.8,19.2,10,2.2,0,0,31.4,10351,20044,10474,22798,1,1
Crane County,TX,78.6,21.4,9.8,3,0.5,0,34.7,275,985,299,1047,1,1
Craven County,NC,88.1,11.9,3.6,0,0,0,15.5,18556,26654,17481,27556,1,1
Crawford County,AR,56.1,43.9,31.3,20,4.4,0,99.6,4872,15125,4476,16655,1,1
Crawford County,GA,48.6,51.4,23.5,8.3,5.3,3.7,92.2,1699,3366,1419,3632,1,1
Crawford County,IA,93.6,6.4,1,0,0,0,7.4,3035,3584,1985,4608,1,1
Crawford County,IL,82.3,17.7,0.1,0,0,0,17.8,2855,5577,1969,6146,1,1
Crawford County,IN,87.8,12.2,4.7,0,0,0,16.9,2040,2418,1323,3013,1,1
Crawford County,KS,65.9,34.1,12.2,1.4,0,0,47.7,6545,7480,5064,8394,1,1
Crawford County,MI,90.9,9.1,2.7,0.3,0,0,12.1,2994,3744,2110,4354,1,1
Crawford County,MO,61,39,24.1,9.6,0.7,0,73.4,2951,6434,1824,7724,1,1
Crawford County,OH,88.5,11.5,3.8,0,0,0,15.3,7207,11561,4518,13265,1,1
Crawford County,PA,93.3,6.7,0,0,0,0,6.7,13024,19497,10215,23912,1,1
