county,state,None,D0,D1,D2,D3,D4,Overall D,blue_2012,red_2012,blue_2016,red_2016,target_2012,target_2016
Power County,ID,62.3,37.7,8.8,1,0,0,47.5,982,1870,699,1666,1,1
Poweshiek County,IA,69.2,30.8,8.2,0,0,0,39,5307,4409,4272,4936,0,1
Powhatan County,VA,65.5,34.5,10.5,0,0,0,45,4066,11192,4057,11875,1,1
Prairie County,AR,73.8,26.2,12.1,2.5,0.1,0,40.9,877,2149,812,2503,1,1
Prairie County,MT,62.7,37.3,22.7,14.4,5.5,1.7,81.6,167,518,100,555,1,1
Pratt County,KS,57.6,42.4,21.7,14.3,6.8,0,85.2,974,2730,769,2824,1,1
Preble County,OH,94.7,5.3,0,0,0,0,5.3,6005,13202,4323,15376,1,1
Prentiss County,MS,54.6,45.4,18.8,5.3,1.9,0,71.4,2817,7075,2067,7647,1,1
Presidio County,TX,63.7,36.3,12.2,1.7,0,0,50.2,1273,504,1458,652,0,0
Presque Isle County,MI,86.3,13.7,5.3,0.8,0,0,19.8,3192,3794,2400,4486,1,1
Preston County,WV,98.5,1.5,0,0,0,0,1.5,2916,7841,2462,9501,1,1
Price County,WI,94.6,5.4,0,0,0,0,5.4,3882,3879,2671,4562,0,1
Prince Edward County,VA,63.4,36.6,16.7,0,0,0,53.3,5132,3952,4590,4099,0,0
Prince George's County,MD,62.6,37.4,17.9,1.1,0,0,56.4,317342,32236,313627,29290,0,0
Prince George County,VA,77.6,22.4,3.3,0,0,0,25.7,7671,9350,6419,9157,1,1
Prince William County,VA,63.1,36.9,19.2,3.5,0,0,59.6,103161,74371,83093,54065,0,0
Providence County,RI,73,27,20.8,4.2,0,0,52,156022,74344,141597,90321,0,0
Prowers County,CO,51.6,48.4,31.3,15.2,9.5,0,104.4,1498,3200,1173,3508,1,1
Pueblo County,CO,36.7,63.3,53.1,27.9,9.2,0.9,154.4,40624,31023,27945,27746,0,0
Pulaski County,AR,62.5,37.5,19.8,4.8,1.8,0,63.9,87055,68856,89377,61182,0,0
Pulaski County,GA,46.4,53.6,21.5,5.7,3.9,0,84.7,1219,2444,1104,2436,1,1
Pulaski County,IL,79.1,20.9,2.3,0.2,0,0,23.4,1389,1562,817,1583,1,1
Pulaski County,IN,95.6,4.4,0,0,0,0,4.4,1899,3366,1327,3854,1,1
Pulaski County,KY,88.8,11.2,6.2,3.8,1.6,0,22.8,4976,20714,4208,22900,1,1
Pulaski County,MO,62.9,37.1,13.7,0.6,0,0,51.4,4199,9092,2918,9870,1,1
Pulaski County,VA,79.3,20.7,4.5,0,0,0,25.2,5287,8917,4170,10314,1,1
Pushmataha County,OK,52.9,47.1,34.2,15.6,2.5,0,99.4,1043,3087,748,3581,1,1
Putnam County,FL,79.5,20.5,4.9,0,0,0,25.4,11666,19326,9920,21873,1,1
Putnam County,GA,43.4,56.6,23.3,12.5,9.6,5.1,107.1,2917,6210,2745,6516,1,1
Putnam County,IL,93.3,6.7,0,0,0,0,6.7,1558,1500,1143,1762,0,1
Putnam County,IN,83.9,16.1,4.4,0,0,0,20.5,4504,9004,3356,10637,1,1
Putnam County,MO,42.1,57.9,29.5,6,2.7,0.3,96.4,587,1673,352,1936,1,1
Putnam County,NY,69,31,20.1,14.1,0.9,0,66.1,17851,22436,17363,25241,1,1
Putnam County,OH,92.1,7.9,0,0,0,0,7.9,4238,13563,2874,14704,1,1
Putnam County,TN,82,18,6,3.3,1.3,0,28.6,7793,17242,6847,18981,1,1
Putnam County,WV,96.7,3.3,0,0,0,0,3.3,7198,15926,5784,17455,1,1
Quay County,NM,51.9,48.1,32,19.3,10,0,109.4,1382,2194,1016,2208,1,1
Queen Anne's County,MD,84.4,15.6,1.4,0,0,0,17,7898,14879,7316,16211,1,1
Queens County,NY,73,27,16.2,2.2,0,0,45.4,399970,103193,473389,138550,0,0
Quitman County,GA,54.6,45.4,22.5,9.7,3.5,0,81.1,612,510,461,575,0,1
Quitman County,MS,68.7,31.3,14.2,4.8,0.1,0,50.4,2837,1116,2303,998,0,0
Rabun County,GA,68.9,31.1,23,17.8,13.5,1.9,87.3,1558,5753,1443,6287,1,1
Racine County,WI,89.9,10.1,2.7,0,0,0,12.8,52887,49173,42506,46620,0,1
Rains County,TX,58.1,41.9,20.3,3.5,0,0,65.7,754,3265,619,3919,1,1
Raleigh County,WV,94,6,0,0,0,0,6,7651,20375,6362,21835,1,1
Ralls County,MO,55.7,44.3,19.4,0,0,0,63.7,1736,3231,1138,3969,1,1
Ramsey County,MN,97.9,2.1,0,0,0,0,2.1,184936,86799,176929,70778,0,0
Ramsey County,ND,43.6,56.4,14.3,0.2,0,0,70.9,2162,2659,1505,3216,1,1
Randall County,TX,55.6,44.4,30.2,24.4,16.1,3.9,119,7553,41366,8340,43379,1,1
Randolph County,AL,62.8,37.2,25.9,16,7.9,4.1,91.1,3076,7219,2290,7697,1,1
Randolph County,AR,64.9,35.1,23.4,8.7,0.4,0,67.6,2040,3699,1425,4508,1,1
Randolph County,GA,54.6,45.4,23.3,8.2,2.1,0,79,1749,1249,1597,1270,0,0
Randolph County,IL,67.9,32.1,12.1,0.1,0,0,44.3,5753,8284,3421,9992,1,1
Randolph County,IN,95,5,0,0,0,0,5,3768,6218,2446,7515,1,1
Randolph County,MO,54.1,45.9,20.5,9.1,3,0,78.5,3031,6667,2283,7529,1,1
Randolph County,NC,69.5,30.5,9.1,0,0,0,39.6,14675,44913,13074,49156,1,1
Randolph County,WV,94.5,5.5,0,0,0,0,5.5,3325,6150,2724,7583,1,1
Rankin County,MS,67.2,32.8,16.8,6.3,2,0,57.9,14425,46318,13741,46168,1,1
Ransom County,ND,72,28,5.7,0.7,0,0,34.4,1341,1008,836,1209,0,1
Rapides Parish,LA,65,35,15.5,4.2,0.5,0,55.2,20040,37187,18318,36814,1,1
Rappahannock County,VA,66.6,33.4,8,0,0,0,41.4,1971,2307,1741,2532,1,1
Ravalli County,MT,74.5,25.5,8.5,2.3,0,0,36.3,6466,12817,6166,14673,1,1
Rawlins County,KS,61.8,38.2,12.7,0,0,0,50.9,184,1207,160,1209,1,1
Ray County,MO,55.5,44.5,18.9,9.1,3.5,0.4,76.4,4264,5805,3088,7103,1,1
Reagan County,TX,67.8,32.2,15.3,1.1,0,0,48.6,158,676,167,709,1,1
Real County,TX,59.5,40.5,23.1,6.7,1.8,0,72.1,277,1236,262,1382,1,1
Red Lake County,MN,79.5,20.5,4.2,0,0,0,24.7,928,978,540,1141,1,1
Red River County,TX,54,46,34.4,10.1,1.6,0,92.1,1482,3549,1148,3924,1,1
Red River Parish,LA,58.2,41.8,31.9,11.8,0,0,85.5,2253,2483,1938,2391,1,1
Red Willow County,NE,60.3,39.7,1.2,0,0,0,40.9,940,3855,638,4212,1,1
Redwood County,MN,98.6,1.4,0,0,0,0,1.4,3008,4570,1887,5137,1,1
Reeves County,TX,79.7,20.3,7,0,0,0,27.3,1649,1185,1659,1417,0,0
Refugio County,TX,70.3,29.7,16.1,3,0.6,0,49.4,998,1659,1034,1830,1,1
Reno County,KS,59.6,40.4,25.3,17.6,6.8,0,90.1,7888,15398,6670,15100,1,1
Rensselaer County,NY,71.1,28.9,9.2,0,0,0,38.1,34713,27240,30039,31933,0,1
Renville County,MN,98,2,0,0,0,0,2,3394,4149,2117,4890,1,1
Renville County,ND,34.8,65.2,43.8,9.8,0,0,118.8,398,850,200,978,1,1
Republic County,KS,66.3,33.7,8.7,0,0,0,42.4,470,2098,370,1993,1,1
Reynolds County,MO,65.2,34.8,20.3,7.8,0.4,0,63.3,1155,1927,540,2402,1,1
Rhea County,TN,72.5,27.5,21,11.4,5.8,1.9,67.6,2625,7793,1942,8650,1,1
Rice County,KS,60.3,39.7,28.5,17.6,0.4,0,86.2,899,2631,668,2652,1,1
Rice County,MN,98.9,1.1,0,0,0,0,1.1,17054,14380,14437,15429,0,1
Rich County,UT,49.8,50.2,23.2,1.7,0.1,0,75.2,83,907,104,786,1,1
Richardson County,NE,66.3,33.7,11.9,0.9,0,0,46.5,1180,2407,798,2684,1,1
Richland County,IL,78.2,21.8,0.5,0,0,0,22.3,2360,4750,1579,5736,1,1
Richland County,MT,63,37,28.2,16.2,7.6,0.2,89.2,992,3479,669,3885,1,1
Richland County,ND,76.9,23.1,4,0,0,0,27.1,3190,4213,2064,4759,1,1
Richland County,OH,87.5,12.5,4.3,0,0,0,16.8,21785,33057,15629,35805,1,1
Richland County,SC,65.8,34.2,4.6,0,0,0,38.8,94350,46725,108401,52753,0,0
Richland County,WI,89.9,10.1,0,0,0,0,10.1,4964,3575,3577,4021,0,1
Richland Parish,LA,60.5,39.5,18.4,12.4,1.7,0,72,4074,7316,3157,6286,1,1
Richmond County,GA,53.3,46.7,13.3,1.6,0,0,61.6,52461,25821,48707,24441,0,0
Richmond County,NC,73,27,5.8,0,0,0,32.8,9747,9236,8290,10199,0,1
Richmond County,NY,73.8,26.2,14.4,2.6,0,0,43.2,67524,66420,67561,95612,0,1
Richmond County,VA,83.1,16.9,0.2,0,0,0,17.1,1574,2160,1347,2213,1,1
Riley County,KS,63.8,36.2,18.6,10.8,0.5,0,66.1,8587,11157,8892,9817,1,1
Ringgold County,IA,61.5,38.5,10.2,0.9,0,0,49.6,1181,1366,753,1820,1,1
Rio Arriba County,NM,38.9,61.1,46.5,41.3,34.6,20.1,203.6,11389,3373,9534,3583,0,0
Rio Blanco County,CO,37.5,62.5,38.2,21.5,7.1,0,129.3,561,2677,433,2782,1,1
Rio Grande County,CO,49.1,50.9,40.5,38.3,26,0.1,155.8,2428,2892,1985,3060,1,1
Ripley County,IN,95.4,4.6,0,0,0,0,4.6,3241,7484,2471,9806,1,1
Ripley County,MO,60.6,39.4,26.9,10.2,0,0,76.5,1396,3743,830,4520,1,1
Ritchie County,WV,95.9,4.1,0,0,0,0,4.1,762,2889,490,3376,1,1
Riverside County,CA,23.3,76.7,52.4,31.8,6.3,0,167.2,287754,290227,300686,279072,1,0
Roane County,TN,74.9,25.1,17.1,7.5,3.9,1.4,55,6014,14719,4833,15863,1,1
Roane County,WV,97.1,2.9,0,0,0,0,2.9,1928,2973,1220,3772,1,1
Roanoke County,VA,0,0,0,0,0,0,0,19589,33344,16787,30857,1,1
Roberts County,SD,73.3,26.7,7.7,0,0,0,34.4,2302,1883,1539,2142,0,1
Roberts County,TX,60.6,39.4,23.6,15.5,12.4,4.8,95.7,25,408,20,524,1,1
Robertson County,KY,92.4,7.6,4.5,2.8,0,0,14.9,340,579,222,759,1,1
Robertson County,TN,80.1,19.9,5.1,3.2,0.7,0,28.9,8289,17641,6634,19393,1,1
Robertson County,TX,65.8,34.2,15,4.2,0.8,0,54.2,2792,4416,2203,4665,1,1
Robeson County,NC,71.9,28.1,4.5,0,0,0,32.6,23957,17093,18377,20294,0,1
Rock County,MN,88.2,11.8,1.2,0,0,0,13,1945,2810,1373,3091,1,1
Rock County,NE,86.5,13.5,1.2,0,0,0,14.7,103,669,70,687,1,1
Rock County,WI,94.8,5.2,0.1,0,0,0,5.3,49158,30492,39336,31483,0,0
Rock Island County,IL,67.6,32.4,3.5,0,0,0,35.9,39081,24888,32258,26969,0,0
Rockbridge County,VA,0,0,0,0,0,0,0,4087,5898,3506,6671,1,1
Rockcastle County,KY,89.8,10.2,5.2,3.8,1.2,0,20.4,1097,5028,915,5609,1,1
Rockdale County,GA,68.4,31.6,21.7,14.6,8.6,1.5,78,21878,15671,23206,13463,0,0
Rockingham County,NC,64,36,12.2,0,0,0,48.2,16170,25037,14057,26463,1,1
Rockingham County,NH,62.4,37.6,24,20,7.5,0,89.1,80096,87809,79994,90447,1,1
Rockingham County,VA,71.8,28.2,5.2,0,0,0,33.4,10059,24173,9361,25269,1,1
Rockland County,NY,69.2,30.8,19.2,15,0,0,65,60446,52936,63454,57148,0,0
Rockwall County,TX,60.6,39.4,16.2,1.8,0,0,57.4,8112,27098,9633,28396,1,1
Roger Mills County,OK,44.8,55.2,39.5,26,15,4.2,139.9,272,1402,151,1546,1,1
Rogers County,OK,46.7,53.3,29.2,8.7,0,0,91.2,9146,27531,7895,30893,1,1
Rolette County,ND,34.9,65.1,38.6,3.5,0,0,107.2,3351,1090,2097,1210,0,0
Rooks County,KS,63.3,36.7,8.2,0,0,0,44.9,398,2159,273,1999,1,1
Roosevelt County,MT,53.5,46.5,33.4,26.7,13.4,4.2,124.2,2044,1503,1504,1722,0,1
Roosevelt County,NM,53.1,46.9,29.8,21.8,8.5,0,107,1719,4032,1445,3865,1,1
Roscommon County,MI,93.6,6.4,0.9,0,0,0,7.3,6198,6701,4287,8141,1,1
Roseau County,MN,61.4,38.6,10.8,0,0,0,49.4,2772,4409,1856,5451,1,1
Rosebud County,MT,72.6,27.4,17.9,12,3.1,0.7,61.1,1478,2035,969,2211,1,1
Ross County,OH,96.3,3.7,0,0,0,0,3.7,13895,14582,9905,17833,1,1
Routt County,CO,42.5,57.5,27.3,16.1,6.5,0,107.4,7389,5361,7487,5149,0,0
Rowan County,KY,91.4,8.6,6.2,3.2,0,0,18,3438,4035,3295,5174,1,1
Rowan County,NC,69.7,30.3,9.6,0,0,0,39.9,22529,38622,19208,42388,1,1
Runnels County,TX,67.5,32.5,11.2,0.8,0,0,44.5,517,3103,452,3241,1,1
Rush County,IN,94.4,5.6,0,0,0,0,5.6,2221,4633,1525,5292,1,1
Rush County,KS,51.1,48.9,27.8,9.4,0,0,86.1,361,1151,227,1177,1,1
Rusk County,TX,63,37,15.9,3.2,0,0,56.1,4451,13924,3935,14675,1,1
Rusk County,WI,96.6,3.4,0,0,0,0,3.4,3391,3673,2171,4564,1,1
Russell County,AL,56.2,43.8,24.1,9.9,4.4,0.2,82.4,10495,8276,9577,9210,0,0
Russell County,KS,52,48,23.3,7.7,0,0,79,584,2505,454,2544,1,1
Russell County,KY,89,11,5.9,3.8,1.6,0,22.3,1445,6346,1093,6863,1,1
Russell County,VA,80.6,19.4,4.4,0.3,0,0,24.1,3716,8177,2328,9516,1,1
Rutherford County,NC,75.7,24.3,19.6,11.9,2.1,0,57.9,9277,18797,7451,21694,1,1
Rutherford County,TN,78.8,21.2,5.7,3.8,1.3,0,32,36400,60829,36627,64428,1,1
Rutland County,VT,58.9,41.1,20.6,2,0,0,63.7,17087,10834,13629,12471,0,0
Sabine County,TX,78.5,21.5,12.3,3.1,0,0,36.9,806,3726,614,3992,1,1
Sabine Parish,LA,70.1,29.9,15.8,3.7,0.3,0,49.7,2194,7735,1703,7877,1,1
Sac County,IA,91.2,8.8,4.4,0,0,0,13.2,2117,3086,1269,3692,1,1
Sacramento County,CA,72.7,27.3,15.9,12.2,0,0,55.4,221063,157688,273768,163024,0,0
Sagadahoc County,ME,47.7,52.3,32.2,9.3,2.5,0,96.3,11821,8429,10679,9304,0,0
Saginaw County,MI,89.2,10.8,1.1,0,0,0,11.9,54372,42716,44395,45469,0,1
Saguache County,CO,47.8,52.2,39.5,35.2,22.9,0.9,150.7,1762,937,1345,1109,0,0
Salem County,NJ,84.7,15.3,2.5,0,0,0,17.8,14456,14214,11766,16256,0,1
Saline County,AR,64.2,35.8,20.8,5.7,2.1,0,64.4,12868,32962,13247,35852,1,1
Saline County,IL,78.3,21.7,0,0,0,0,21.7,3697,6803,2551,8248,1,1
Saline County,KS,61.6,38.4,26.5,15.1,1,0,81,6910,13697,6084,13367,1,1
Saline County,MO,55.8,44.2,20.4,7,0.6,0,72.2,3785,5096,2787,5977,1,1
Saline County,NE,77.7,22.3,2.3,0,0,0,24.6,2232,2518,1630,2849,1,1
Salt Lake County,UT,32.6,67.4,48.4,32.3,0,0,148.1,132686,198739,154831,117901,1,0
Saluda County,SC,51.4,48.6,16.9,0,0,0,65.5,3322,5130,2809,5525,1,1
Sampson County,NC,72.5,27.5,1.2,0,0,0,28.7,11496,14358,10486,14761,1,1
San Augustine County,TX,74.9,25.1,13.1,2.7,0,0,40.9,1193,2469,907,2620,1,1
San Benito County,CA,22,78,24.1,16.2,13.8,8,140.1,8617,6052,8309,5530,0,0
San Bernardino County,CA,38.4,61.6,44.6,17.4,4.6,0.1,128.3,274203,245468,304407,249103,0,0
San Diego County,CA,0.3,99.7,58.3,37.1,9.9,0,205,478386,431046,567243,386807,0,0
San Francisco County,CA,66.3,33.7,3.6,0,0,0,37.3,267857,42654,312443,34493,0,0
San Jacinto County,TX,82.6,17.4,1.6,0,0,0,19,2410,7105,2034,8050,1,1
San Joaquin County,CA,68,32,18.2,14.1,9.9,0,74.2,80005,66742,71349,56194,0,0
San Juan County,CO,44.2,55.8,42.9,38.9,30.8,21.2,189.6,266,212,265,215,0,0
San Juan County,NM,27.4,72.6,53.3,42.3,34.4,26.1,228.7,15688,28779,12826,27879,1,1
San Juan County,UT,31.1,68.9,45.1,38.2,26.2,10.1,188.5,2062,3006,1997,2635,1,1
San Juan County,WA,58.4,41.6,17.1,0,0,0,58.7,6943,3061,7053,2651,0,0
San Luis Obispo County,CA,17.9,82.1,50.6,28.7,14.5,11.6,187.5,57655,56500,61021,50755,0,0
San Mateo County,CA,65.4,34.6,5.5,0,0,0,40.1,151036,56244,192035,47627,0,0
San Miguel County,CO,39.1,60.9,43.3,38.9,33.1,22.8,199,2961,1144,2960,1030,0,0
San Miguel County,NM,42.6,57.4,33.6,25,14.2,0.4,130.6,8754,2281,7249,2302,0,0
San Patricio County,TX,57.3,42.7,15.8,2.2,0.4,0,61.1,7854,11994,7825,13004,1,1
San Saba County,TX,61.3,38.7,18.9,5.7,0.5,0,63.8,323,1905,293,2025,1,1
Sanborn County,SD,77.5,22.5,4.8,0.3,0,0,27.6,389,688,241,819,1,1
Sanders County,MT,55.5,44.5,18.4,6.5,0,0,69.4,1716,3971,1211,4268,1,1
Sandoval County,NM,35.1,64.9,44.9,36,22.6,8,176.4,26831,24124,27405,25748,0,0
Sandusky County,OH,84.4,15.6,1.1,0,0,0,16.7,14035,13491,9733,16045,0,1
Sangamon County,IL,63.1,36.9,11.1,0,0,0,48,41961,50131,40731,49823,1,1
Sanilac County,MI,89.1,10.9,3.9,0,0,0,14.8,7212,10961,4873,13446,1,1
Sanpete County,UT,23.3,76.7,57.1,35.9,21.4,8,199.1,889,7767,1026,6436,1,1
Santa Barbara County,CA,16.6,83.4,82.1,47.9,16.4,13.7,243.5,84279,59096,100120,53740,0,0
Santa Clara County,CA,57.2,42.8,18.1,9.4,4.9,0,75.2,343239,136347,483472,137452,0,0
Santa Cruz County,AZ,20.4,79.6,45.8,30.6,16.6,0,172.6,9486,4235,10684,3650,0,0
Santa Cruz County,CA,63.3,36.7,7.9,0.4,0,0,45,61106,17132,85185,20158,0,0
Santa Fe County,NM,38.4,61.6,43,35.8,20.3,3.3,164,49668,15145,49956,14198,0,0
Santa Rosa County,FL,72.4,27.6,13.3,3.8,0.6,0,45.3,17757,58169,18398,65126,1,1
Sarasota County,FL,78.9,21.1,11.4,5.8,0,0,38.3,95089,110489,97676,124098,1,1
Saratoga County,NY,77.7,22.3,6.9,1.8,0,0,31,48876,46829,46546,51088,0,1
Sargent County,ND,65,35,10.5,0.2,0,0,45.7,1073,876,693,1088,0,1
Sarpy County,NE,88.7,11.3,0,0,0,0,11.3,24709,40318,27704,44649,1,1
Sauk County,WI,91.2,8.8,0,0,0,0,8.8,18718,12829,16050,15871,0,0
Saunders County,NE,89.1,10.9,0,0,0,0,10.9,3279,6725,2509,7486,1,1
Sawyer County,WI,96.9,3.1,0,0,0,0,3.1,4482,4436,2846,4625,0,1
Schenectady County,NY,80.2,19.8,5.8,0,0,0,25.6,33777,24608,30870,27268,0,0
Schleicher County,TX,62.6,37.4,20.4,4.1,0.5,0,62.4,220,781,209,819,1,1
Schley County,GA,51.5,48.5,24.2,8.2,4.5,0,85.4,448,1286,401,1472,1,1
Schoharie County,NY,79.9,20.1,5.2,0,0,0,25.3,4862,6849,3777,8173,1,1
Schoolcraft County,MI,100,0,0,0,0,0,0,1865,2142,1369,2556,1,1
Schuyler County,IL,71.1,28.9,1.2,0,0,0,30.1,1726,2062,1074,2523,1,1
Schuyler County,MO,44.9,55.1,30,8,4,0,97.1,697,1174,354,1505,1,1
Schuyler County,NY,77.5,22.5,15.6,9.5,5.5,0,53.1,3354,3942,2761,5179,1,1
Schuylkill County,PA,73.2,26.8,13.3,0,0,0,40.1,24453,32156,16724,43937,1,1
Scioto County,OH,94.5,5.5,0.7,0,0,0,6.2,14432,15023,8841,19742,1,1
Scotland County,MO,45.8,54.2,23.8,7.7,2.9,0,88.6,643,1246,365,1525,1,1
Scotland County,NC,80.9,19.1,5.7,0,0,0,24.8,8131,5799,7279,6212,0,0
Scott County,AR,58.2,41.8,34.5,15.4,1.4,0,93.1,895,2630,507,2378,1,1
Scott County,IA,73.9,26.1,2,0,0,0,28.1,50581,38223,40302,39083,0,0
Scott County,IL,58.1,41.9,15.4,0,0,0,57.3,910,1586,528,1965,1,1
Scott County,IN,90.9,9.1,3.2,0.1,0,0,12.4,3998,4539,2642,6074,1,1
Scott County,KS,64.9,35.1,27.8,8.1,0,0,71,271,1702,232,1832,1,1
Scott County,KY,92.6,7.4,4.8,3.2,0,0,15.4,7532,12679,7713,15052,1,1
Scott County,MN,99.4,0.6,0,0,0,0,0.6,29714,40321,28502,39948,1,1
Scott County,MO,71.7,28.3,5.4,0.5,0,0,34.2,5122,11623,3574,13168,1,1
Scott County,MS,65.7,34.3,20.5,8.5,2.8,0,66.1,4774,5728,3999,5742,1,1
Scott County,TN,81.1,18.9,8.3,4.9,1.8,0,33.9,1452,5117,934,6044,1,1
Scott County,VA,83.2,16.8,6.2,1.2,0,0,24.2,2395,7439,1579,8242,1,1
Scotts Bluff County,NE,74,26,0.3,0,0,0,26.3,4193,9427,3151,9952,1,1
Screven County,GA,48.3,51.7,22,2,0,0,75.7,2769,3285,2300,3305,1,1
Scurry County,TX,61.6,38.4,25.4,15.8,1,0,80.6,837,4121,733,4403,1,1
Searcy County,AR,64,36,27,15.1,0,0,78.1,814,2699,601,2955,1,1
Sebastian County,AR,57,43,30.5,21.2,4.2,0,98.9,13083,29158,12184,28769,1,1
Sedgwick County,CO,66.4,33.6,12.4,0,0,0,46,419,881,267,1015,1,1
Sedgwick County,KS,66.6,33.4,24.2,17.6,6.3,0,81.5,69373,104411,66716,101319,1,1
Seminole County,FL,72.5,27.5,8.7,3.7,0,0,39.9,96435,109939,105611,109265,1,1
Seminole County,GA,64.7,35.3,18.7,5.8,0,0,59.8,1475,2244,1186,2343,1,1
Seminole County,OK,64,36,24.9,12.6,0.1,0,73.6,2597,4852,2067,5612,1,1
Seneca County,NY,76.6,23.4,15.2,9.5,5.4,0,53.5,6526,5405,5175,6719,0,1
Seneca County,OH,84.7,15.3,2,0,0,0,17.3,10962,13025,7237,14559,1,1
Sequatchie County,TN,68.8,31.2,19.5,11.4,4.9,0.9,67.9,1488,3541,1051,4434,1,1
Sequoyah County,OK,57.4,42.6,27.2,21.9,2.5,0,94.2,4193,9573,3061,10888,1,1
Sevier County,AR,65.5,34.5,25.5,7.4,2.4,0,69.8,1042,3135,1075,3281,1,1
Sevier County,TN,73.7,26.3,18,10.9,2.5,0.7,58.4,7415,25979,6293,28610,1,1
Sevier County,UT,34.4,65.6,47.1,30.4,14.1,1.1,158.3,701,6961,673,6455,1,1
Seward County,KS,54.3,45.7,34.9,23.9,13.9,5.3,123.7,1393,3495,1491,3025,1,1
Seward County,NE,82.7,17.3,0.4,0,0,0,17.7,2362,4947,1881,5451,1,1
Shackelford County,TX,76.7,23.3,6.1,1.5,0,0,30.9,131,1218,103,1378,1,1
Shannon County,MO,61.2,38.8,23.9,8.4,0,0,71.1,1300,2260,776,2966,1,1
Sharkey County,MS,67.3,32.7,15.3,6,1.4,0,55.4,1571,675,1290,619,0,0
Sharp County,AR,67.7,32.3,24.9,10,1.5,0,68.7,2092,4920,1472,5405,1,1
Shasta County,CA,67.5,32.5,11.4,0,0,0,43.9,18184,34561,20471,47587,1,1
Shawano County,WI,93.4,6.6,0,0,0,0,6.6,8990,11017,6056,12742,1,1
Shawnee County,KS,56.3,43.7,23,16.7,6,0.4,89.8,35959,37226,33270,35349,1,1
Sheboygan County,WI,92.5,7.5,0,0,0,0,7.5,28356,34282,22636,32368,1,1
Shelby County,AL,55.4,44.6,29.7,18.2,11.4,5.2,109.1,19944,71243,22927,72846,1,1
Shelby County,IA,93.4,6.6,0.4,0,0,0,7,2468,3903,1649,4340,1,1
Shelby County,IL,82,18,0.7,0,0,0,18.7,3336,6837,2279,8209,1,1
Shelby County,IN,94.2,5.8,0,0,0,0,5.8,5357,10972,4247,12718,1,1
Shelby County,KY,91.6,8.4,4.7,2.8,0,0,15.9,6634,11790,6276,13196,1,1
Shelby County,MO,57.3,42.7,16.3,0.4,0,0,59.4,966,2188,606,2524,1,1
Shelby County,OH,92.1,7.9,0.6,0,0,0,8.5,6065,16700,4143,18148,1,1
Shelby County,TN,79.7,20.3,7.2,1.9,0,0,29.4,232201,135536,206640,114948,0,0
Shelby County,TX,67.6,32.4,16.2,3.7,0,0,52.3,2318,6870,1757,7171,1,1
Shenandoah County,VA,82.8,17.2,0,0,0,0,17.2,6462,12526,5269,14078,1,1
Sherburne County,MN,97.1,2.9,0,0,0,0,2.9,17597,27848,13299,31049,1,1
Sheridan County,KS,65.8,34.2,4.7,0,0,0,38.9,165,1136,126,1186,1,1
Sheridan County,MT,55.9,44.1,33.3,28.2,10.7,6,122.3,661,1203,476,1237,1,1
Sheridan County,ND,50.2,49.8,24.4,6.9,2.2,0,83.3,161,637,94,644,1,1
Sheridan County,NE,83.3,16.7,2.3,0,0,0,19,389,2010,286,2192,1,1
Sheridan County,WY,86.1,13.9,1.9,0,0,0,15.8,3618,10267,2926,10266,1,1
Sherman County,KS,69.5,30.5,15.2,0,0,0,45.7,575,1967,340,2043,1,1
Sherman County,NE,73.6,26.4,7.6,0,0,0,34,549,919,338,1143,1,1
Sherman County,OR,33,67,25.8,11.1,0,0,103.9,317,677,202,726,1,1
Sherman County,TX,64.5,35.5,21,14.4,9,0.5,80.4,121,908,96,807,1,1
Shiawassee County,MI,82.5,17.5,4.9,0,0,0,22.4,17197,15962,12547,19232,0,1
Shoshone County,ID,58.1,41.9,14.7,1.1,0,0,57.7,2277,2699,1384,3297,1,1
Sibley County,MN,99.6,0.4,0,0,0,0,0.4,2916,4693,1954,5193,1,1
Sierra County,CA,72.3,27.7,15.3,2.6,0,0,45.6,652,1056,601,1048,1,1
Sierra County,NM,45.1,54.9,27.7,14.6,0.3,0,97.5,1963,2928,1600,2998,1,1
Silver Bow County,MT,68.1,31.9,15.3,0,0,0,47.2,10782,5374,8545,6252,0,0
Simpson County,KY,84.9,15.1,5.1,3.2,0,0,23.4,2650,4355,2144,5077,1,1
Simpson County,MS,67.7,32.3,8.9,4.1,1.1,0,46.4,4723,7424,3871,7393,1,1
Sioux County,IA,85.5,14.5,3.8,0,0,0,18.3,2683,14361,2289,14761,1,1
Sioux County,ND,56.1,43.9,33.6,14.9,3.2,0,95.6,900,223,758,256,0,0
Sioux County,NE,72.9,27.1,2,0,0,0,29.1,101,623,77,602,1,1
Siskiyou County,CA,60.2,39.8,17.4,8.9,1.3,0,67.4,7110,9844,7106,11212,1,1
Skagit County,WA,58,42,17.6,2.3,0,0,61.9,21875,19418,26076,24330,0,0
Skamania County,WA,48.1,51.9,28.1,8.3,0,0,88.3,2554,2624,2207,2910,1,1
Slope County,ND,35.7,64.3,31.2,11.2,7.8,0.3,114.8,83,341,42,361,1,1
Smith County,KS,63.5,36.5,6.1,0,0,0,42.6,345,1598,295,1635,1,1
Smith County,MS,68.1,31.9,15.8,4.7,1.4,0,53.8,1979,6049,1598,5877,1,1
Smith County,TN,81.7,18.3,5.7,3.8,1.3,0,29.1,2467,4492,1688,5485,1,1
